period,periodYear,periodQuarter,periodOrder,sourceObject,sourceGrain,ageGroup,unitJoinKey,unitCode,unitZipCode,unitName,coordinatingCouncil,stakeOrDistrict,state,city,snapshotDate,members,participating,males,females,notParticipating,participatingMales,participatingFemales,sourceParticipationRate,lowParticipationFlag,unitPriorityIndex,cityPriorityIndex,isolationVsPerformance,stakeDistanceTier,councilDistanceTier,milesToCouncilCentroid,cityLatitude,cityLongitude
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|elizabethtown ward,,,Elizabethtown Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Elizabethtown,2025 Q3,99.0,18.0,,,,,,0.1818181872367859,0,0.16506360471248627,0.2550729513168335,Low isolation / Low participation,20�40 mi,40�75 mi,61.112125396728516,40.15336227416992,-76.60425567626953
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|ephrata ward,,,Ephrata Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Ephrata,2025 Q3,,,,,,,,0.0,0,0.10274410247802734,0.19862794876098633,Low isolation / Low participation,20�40 mi,?75 mi,78.81234741210938,40.17991256713867,-76.17892456054688
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|king street branch (spanish),,,King Street Branch (Spanish),Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Lancaster,2025 Q3,34.0,5.0,,,,,,0.14705882966518402,0,0.2528340220451355,0.2902400493621826,Low isolation / Low participation,20�40 mi,40�75 mi,67.63809204101562,40.037994384765625,-76.30567169189453
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|lancaster ward,,,Lancaster Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Lancaster,2025 Q3,152.0,27.0,,,,,,0.14705882966518402,0,0.2528340220451355,0.2902400493621826,Low isolation / Low participation,20�40 mi,40�75 mi,67.63809204101562,40.037994384765625,-76.30567169189453
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|lititz ward,,,Lititz Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Lititz,2025 Q3,89.0,22.0,,,,,,0.24719101190567017,0,0.0945596769452095,0.2157776653766632,Low isolation / High participation,20�40 mi,40�75 mi,72.53428649902344,40.15713119506836,-76.30715942382812
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|queen street branch (spanish),,,Queen Street Branch (Spanish),Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Lancaster,2025 Q3,30.0,6.0,,,,,,0.14705882966518402,0,0.2528340220451355,0.2902400493621826,Low isolation / Low participation,20�40 mi,40�75 mi,67.63809204101562,40.037994384765625,-76.30567169189453
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|shrewsbury ward,,,Shrewsbury Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,Shrewsbury,2025 Q3,92.0,20.0,,,,,,0.21739129722118378,0,0.0577022023499012,0.23678454756736755,Low isolation / Low participation,40�75 mi,40�75 mi,40.98185348510742,39.76875686645508,-76.67964935302734
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|west york ward,,,West York Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,West York,2025 Q3,113.0,24.0,,,,,,0.21238937973976135,0,0.07476065307855606,0.23703932762145996,Low isolation / Low participation,40�75 mi,40�75 mi,45.31767654418945,39.95193862915039,-76.75907897949219
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,lancaster pennsylvania stake|york ward,,,York Ward,Maryland Baltimore,Lancaster Pennsylvania Stake,Pennsylvania,York,2025 Q3,105.0,22.0,,,,,,0.20952381193637848,0,0.0834968239068985,0.23476476967334747,Low isolation / Low participation,40�75 mi,40�75 mi,47.00655746459961,39.962493896484375,-76.72769927978516
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,martinsburg west virginia stake|charles town ward,,,Charles Town Ward,Maryland Baltimore,Martinsburg West Virginia Stake,West Virginia,Charles Town,2025 Q3,64.0,12.0,,,,,,0.1875,0,0.11170463263988495,0.26327621936798096,Low isolation / Low participation,<20 mi,20�40 mi,30.120380401611328,39.2891845703125,-77.85958099365234
